Текст фразы,Эмоция,Augmented
"['Я очень разочарован тем, как это прошло. Столько усилий, и всё зря!']",Злость,
['Почему никто не предупредил меня заранее? Это просто недопустимо!'],Злость,
['Эти постоянные ошибки в системе раздражают! Когда же это исправят?'],Злость,
"['Только что сообщили, что придётся переделывать все. Ну как так можно?']",Злость,
['Каждый раз одно и то же! Когда уже начнётся порядок в этом вопросе?'],Злость,
"['Я предупреждал, что так будет, но, похоже, меня просто не слышат.']",Злость,
['Невозможно работать в таких условиях! Каждый раз те же ошибки и никакого прогресса.'],Злость,
"['Почему снова возникла та же проблема? Сколько раз об этом говорили, но результат тот же.']",Злость,
"['Кажется, что объясняешь одно и то же, но всё возвращается на круги своя.']",Злость,
"['Послушайте, я не понимаю, почему вы так говорите. Мне нужно разобраться в этой ситуации, и я хочу знать, почему вы так некорректно себя ведете.']",Злость,
['Опять эти задержки с оплатой! Почему они не могут сделать всё вовремя? Это просто выводит из себя.'],Злость,
"['Опоздали с доставкой заказа, хотя обещали привезти ещё утром. Полдня потеряно из - за их задержки. В итоге просто испортили все планы.']",Злость,
"['Вчера звонил в поддержку, и они сказали, что проблема решена. Сегодня снова столкнулся с тем же. Это уже начинает сильно раздражать.']",Злость,
['Сколько можно переносить встречу? Каждый раз находят новую причину. Надоело терпеть такое отношение.'],Злость,
"['В банке снова не нашли мой запрос, хотя я приходил трижды. Похоже, у них просто бардак в системе. Это уже переходит все границы.']",Злость,
"['В магазине обещали скидку, но на кассе отказались её учитывать. В итоге пришлось переплатить. Такое поведение совершенно неприемлемо!']",Злость,
"['Отправил отчет по всем правилам, а начальник сказал переделать. Даже не уточнил, что именно не так.']",Злость,
"['Опять потерял время в очереди, только чтобы узнать, что документы надо было заполнить заранее. Никто об этом не предупредил. Как же бесит такая неорганизованность!']",Злость,
"['Уже третий раз повторяю одно и то же, а меня всё равно не слышат. Такое отношение просто выводит из себя. В следующий раз не буду тратить время.']",Злость,
"['Врачи сегодня снова задержались на полчаса, хотя я пришел вовремя. Никто даже не извинился. Похоже, тут вообще не ценят время пациентов.']",Злость,
"['Сегодня отправил письмо с предложением, но ответа нет до сих пор. Сколько ещё можно ждать? В таких условиях просто невозможно планировать работу.']",Злость,
"['Позвонили из банка и заявили, что у меня остался долг. Я же оплатил всё вовремя! Разве можно так ошибаться в элементарных вещах?']",Злость,
"['Получил исправленный отчёт, хотя все данные уже проверил. Зачем снова заставлять переделывать из - за мелочей? Честно говоря, это уже раздражает.']",Злость,
['Коллега снова в последний момент изменил дату встречи. Как вообще можно так безответственно менять планы? Из - за этого теперь придется переделывать весь график.'],Злость,
"['Пришёл в магазин за вещью, а её снова нет в наличии. Уже третий раз прихожу, а они только обещают! Это просто пустая трата времени.']",Злость,
"['Проект продвигается слишком медленно, и всё потому, что некоторые моменты не обсудили заранее. Почему нельзя было сразу всё уточнить? Это тормозит весь процесс.']",Злость,
"['На совещании взяли и поменяли план работы, хотя уже обо всём договорились. Как теперь двигаться вперёд, если они каждый раз меняют условия?']",Злость,
"['Сегодня обсуждали новый подход к задаче, и оказалось, что почти все детали упустили. Как вообще можно было это так запустить? Теперь всё нужно переделывать.']",Злость,
"['Оформил документы, а теперь выяснилось, что нужны дополнительные правки. Почему не могли сразу об этом предупредить? Это просто бесит.']",Злость,
"['Сегодня привезли заказ, но одной вещи не оказалось. Почему нельзя сразу укомплектовать весь заказ? Придётся разбираться с поддержкой — лишние нервы и время.']",Злость,
"['Что за ерунда! Опять сайт не работает, уже в третий раз за неделю! Я уже терпение потерял!']",Злость,
"['Да как так можно? ! Я уже час пытаюсь войти в личный кабинет, и ничего не получается! Это просто издевательство!']",Злость,
"['Вы что, шутите? Это не может быть правдой! Я уже давно ожидаю заказ, а он до сих пор не пришел! Я требую немедленно разбираться в этом вопросе!']",Злость,
"['Сколько можно терпеть эти ошибки в приложении? ! Я уже столько времени потратил на то, чтобы заполнить форму, а оно опять выдает ошибку! Просто безобразие!']",Злость,
"['Это не мои проблемы, что у вас система не работает. Я плачу за ваши услуги, и требую, чтобы все работали как положено.']",Злость,
"['Я уже устал повторять одно и то же. Почему вы не можете понять, в чем проблема? Вы что, вообще не слышите, что я говорю?']",Злость,
"['Вы меня просто за дурака имеете! Как вы можете сказать, что все в порядке, когда у меня сайт не грузится? Вы что, не видите проблему?']",Злость,
"['Не хочу больше слышать ваших отговорок. Устраните ошибку немедленно, и больше не заставляйте меня ждать.']",Злость,
"['Я требую от вас решения проблемы, и хочу слышать не пустые обещания, а конкретные действия. Я больше не могу терпеть вашу некомпетентность!']",Злость,
"['Вы меня просто довели! Я уже столько времени трачу на решение этой проблемы, а вы все мне говорите, что все в порядке. Я требую от вас компенсации за потерянное время!']",Злость,
"['Не нужно мне говорить, что все в порядке! Я видел своими глазами, что сайт не работает. Вы что, меня за дурака держите?']",Злость,
"['Я в бешенстве! Как можно быть таким безответственным? Я теряю время и нервы, а вы мне говорите, что все в порядке. Просто не могу поверить!']",Злость,
"['Ваша компания меня просто доводит! Я уже не знаю, как еще реагировать на вашу некомпетентность.']",Злость,
['Я хочу говорить с руководителем! Мне надоело терять время на бесполезные разговоры с вашими сотрудниками.'],Злость,
"['У вас там вообще есть кто - нибудь ответственный? Я уже столько раз обращался в техподдержку, а результатов нет. Это просто издевательство.']",Злость,
['Я уже не могу терпеть эти постоянные сбои! Ваши услуги отвратительные.'],Злость,
"['Это просто не может продолжаться! Я уже столько времени трачу на то, чтобы решить проблему, а она все равно не решается. Я в бешенстве!']",Злость,
"['Ты что, совсем с ума сошёл?!']",Злость,
['Да как ты мог такое сделать?!'],Злость,
"['Ты меня просто выбесил, это просто невыносимо!']",Злость,
['Сколько раз тебе повторять? Не смей со мной так разговаривать!'],Злость,
"['Ты что, не видишь, что я занят?!']",Злость,
"['Тебя, что, совсем не учили уважать других людей?!']",Злость,
"['Не понимаю, зачем ты вообще это сделал!']",Злость,
['Как ты смеешь меня так оскорблять?!'],Злость,
['Не можешь же ты быть таким безответственным?'],Злость,
"['Я не могу поверить, что ты опять забыл о нашей встрече, это уже второй раз, и мне это совсем не нравится.']",Злость,
"['Почему ты не сказал мне сразу, что у нас проблемы? Я ненавижу, когда люди прячут правду.']",Злость,
"['Меня просто бесит, когда кто - то оставляет свои вещи разбросанными по всей квартире, это делает жизнь невыносимой.']",Злость,
"['Сколько можно напоминать о простых вещах? Я устала постоянно быть единственным человеком, который все организует.']",Злость,
"['Это совершенно неуважительно, когда ты не отвечаешь на сообщения, а потом приходишь и спрашиваешь, что случилось.']",Злость,
"['Я не понимаю, почему ты не можешь хотя бы раз сделать что - то так, как я просила, это очень раздражает.']",Злость,
"['Каждый раз, когда я пытаюсь что - то обсудить, ты просто отмахиваешься — это не серьезно и меня бесит.']",Злость,
"['Почему ты не слушаешь, что я говорю? Я чувствую, что ты просто не заботишься о моих чувствах.']",Злость,
"['Мне надоело постоянно оправдываться за свои действия, когда ты сам допускаешь ошибки и не хочешь признавать это.']",Злость,
"['Я в ярости, что ты опять не выполнил свои обещания, и это начинает выходить за рамки разумного.']",Злость,
"['Я не знаю, как еще объяснить, что такой подход к работе абсолютно недопустим. Надоел постоянный стресс из - за твоих ошибок.']",Злость,
['Неужели так сложно просто выполнить свои обязанности? Я устал от постоянных напоминаний и оправданий.'],Злость,
"['Каждый раз, когда я прошу о помощи, ты просто игнорируешь меня, и это становится просто невыносимым.']",Злость,
"['Мне кажется, ты не принимаешь в расчет мнение команды, и это очень раздражает. Я надеюсь, ты это осознаешь.']",Злость,
"['Я в полном недоумении от того, как ты отнесся к этому проекту. Нельзя было так халатно подходить к делу.']",Злость,
['Неужели так трудно просто выполнить свои обязанности? У меня больше нет сил терпеть это постоянное безобразие.'],Злость,
"['Я не могу поверить, что снова пришлось переделывать проект, потому что кто - то не выполнил свою часть работы.']",Злость,
"['Как же меня бесит, когда люди не слушают и делают все по - своему!']",Злость,
['Достало! Я уже не могу терпеть эту несправедливость!'],Злость,
"['Я в ярости от того, что ты опять забыл о моей просьбе!']",Злость,
"['Что за глупость! Неужели ты не видишь, что это неправильно?']",Злость,
"['Мое терпение лопнуло, я больше не буду мириться с этим!']",Злость,
['Я просто в бешенстве от твоего безответственного поведения.'],Злость,
['Ты меня довел! Я больше не буду терпеть твои выходки!'],Злость,
"['Как же меня бесит этот хаос, я хочу все разрушить!']",Злость,
"['Я не хочу больше слышать, как ты объясняешь свои ошибки. Нужно начинать действовать, а не просто говорить.']",Злость,
"['Почему ты не можешь просто выполнить свою часть? У нас есть четкие сроки, и я не понимаю, зачем затягивать. Если это продолжится, придется серьезно об этом поговорить.']",Злость,
"['Каждый раз, когда я слышу отговорки, меня начинает бесить. Никаких результатов, только постоянные обещания.']",Злость,
"['Мне надоело, что все время меня заставляют исправлять ситуацию. Я не обязан это делать. Почему никто не берет на себя ответственность?']",Злость,
"['Неужели так сложно выполнить домашнее задание самостоятельно? Я все время жду от тебя результатов, а ты продолжаешь откладывать все на последний момент!']",Злость,
"['Не понимаю, зачем ты вообще поступил на эту программу, если тебе ничего не интересно!']",Злость,
"['Ты вообще слушаешь? Я же объясняю, как это сделать!']",Злость,
['У меня уже сил нет спорить с тобой! Сделай как я сказал!'],Злость,
"['Сколько можно! Тебе же сказали, что нужно сдавать работы вовремя!']",Злость,
"['Вы обещали перезвонить мне в течение часа, а прошло уже два! Где вы были все это время?']",Злость,
"['Я уже третий раз пытаюсь снять деньги, а ваш банкомат снова не работает! Что за безобразие?']",Злость,
"['Неужели вы не можете сделать так, чтобы ваши системы работали как надо?']",Злость,
['Почему у вас такая некомпетентная служба поддержки? Никто не может мне помочь!'],Злость,
"['Вы уверены, что правильно посчитали проценты по моему кредиту? Мне кажется, вы меня обманываете!']",Злость,
"['Зачем ты сказал преподавателю, что я не делаю свою часть? Это не так, и это просто недопустимо! Нам нужно решать проблемы, а не раздувать их.']",Злость,
"['Ты не представляешь, как меня это бесит. Мы должны работать как команда, но из - за твоего поведения всё идет не так.']",Злость,
"['Это что за хамство? ! Я просто хотела вернуть бракованный товар, а вы мне грубите!']",Злость,
"['Как вы смеете меня обвинять? Я ничего не брал, я даже не касался этого товара!']",Злость,
"['Почему эта вещь стоит дороже, чем на сайте? Вы что, меня дурите?']",Злость,
['Вы мне испортили настроение! Я просто хотел купить подарок.'],Злость,
"['Опять очередь до конца зала, невозможно нормально купить продукты. Так каждый раз происходит. Сколько можно ждать?']",Злость,
"['Скидка должна была действовать до конца недели, а на кассе её нет. Это же неправильно!']",Злость,
"['Вы опять не привезли товар, который обещали? Мне сказали, что сегодня точно будет.']",Злость,
['Почему цена на товар снова выросла? Каждый раз всё дороже и дороже.'],Злость,
"['Эти фрукты опять совсем не свежие, как так можно? Уже третий раз такое вижу.']",Злость,
['Сколько можно терпеть эту медленную очередь? Это просто возмутительно!'],Злость,
['Опять неправильно пробили цену на кассе! Уже надоело такое отношение!'],Злость,
['Почему постоянно нет нужных продуктов? Вы вообще следите за ассортиментом?'],Злость,
['Сколько можно повышать цены? Это уже совсем за границами разумного!'],Злость,
['Ваши кассы опять не работают нормально! Почему тут постоянно такие проблемы?'],Злость,
['Опять всё сделали неправильно! Сколько раз можно повторять одно и то же?'],Злость,
['Как можно так безответственно относиться к делу? Это уже перебор!'],Злость,
['Почему никто не сообщает об изменениях? Так работать невозможно!'],Злость,
['Опять забыли про наши договорённости? Это уже просто издевательство!'],Злость,
['Ты обещал всё сделать вовремя! А теперь опять оправдания! Почему всегда возникают такие проблемы? Это уже выходит за все рамки!'],Злость,
"['Я не могу поверить, что опять что - то не так! Это же просто безобразие! Неужели нельзя было всё проверить? Сколько можно терпеть это отношение?']",Злость,
['Сколько можно повторять одно и то же! Это уже не смешно! Я устал объяснять одно и то же снова!'],Злость,
"['Как он мог так поступить? Это возмутительно! Всё было на нём, а он просто забыл! Сколько можно это терпеть?']",Злость,
['Опять его работа сделана кое - как! Это же просто халатность! Никто не собирается это терпеть!'],Злость,
['Почему он никогда не делает всё вовремя? Я больше не могу это игнорировать! Его беспечность просто выводит из себя! Когда же это закончится?'],Злость,
"['Она опять опоздала! Как же меня бесит, что она не уважает мое время! Я не знаю, как ей достучаться, она просто не хочет меня слышать!']",Злость,
"['Он не ценит ничего, ничего не делает, ничего не меняется! Я так зла на него, что готова взорваться!']",Злость,
['Он постоянно врет! Я больше не верю ни единому его слову.'],Злость,
['Как он мог так поступить? Я просто в шоке! Он же был мне другом! Я больше не могу ему доверять!'],Злость,
"['Неужели он не понимает, что делает? ! Он просто не уважает ничьих чувств!']",Злость,
"['Я больше не буду молчать! Я покажу ей, что за такое бывает!']",Злость,
"['Я не понимаю, почему это так сложно. Я объяснял свою ситуацию несколько раз, но ничего не меняется. Почему вам требуется так много времени на это?']",Злость,
"['Я не могу поверить, что ваша служба поддержки так неэффективна. Каждый раз, когда я звоню, мне говорят одно и то же. Почему вы не можете решить вопрос сразу?']",Злость,
"['Я потратил уже час на ожидание, а всё, что вы можете предложить, это перезвонить позже? Это просто ужасно! Я ожидал гораздо более качественного обслуживания.']",Злость,
"['Я теряю терпение, и ваше бездействие только усугубляет ситуацию. Что вам нужно, чтобы, наконец, помочь мне?']",Злость,
['Я уже второй час пытаюсь решить эту проблему! Что же вы предлагаете мне делать? ! Я просто в шоке от вашей некомпетентности!'],Злость,
"['Это уже третий раз, как я звоню! И каждый раз мне говорят одно и то же! Что за безобразие!']",Злость,
"['Как вы можете говорить, что ничего не знаете? Это же ваш продукт!']",Злость,
"['Вас совершенно не волнует, что происходит! Это просто безобразие!']",Злость,
['Я не буду больше тратить время на ваши пустые обещания! Я требую немедленных действий! Иначе я буду вынужден обратиться в другую компанию!'],Злость,
"['Я вам уже все объяснил, но вы, видимо, не слушаете! Что вам еще нужно, чтобы вы поняли? Вам нужна схема? Я вам все нарисую, только скажите!']",Злость,
"['Вы не можете просто так бросать трубку! У вас проблема, а вы начинаете истерить! Я не понимаю, чего вы от меня хотите! Я пытаюсь вам помочь!']",Злость,
"['Я не могу вам помочь! Я не волшебник! Я не могу просто так сделать то, что вы хотите! Попробуйте разобраться сами! Я уже все сказал!']",Злость,
['Вы меня не слушаете! Я повторяю в который раз! Вам нужно сделать следующее. .. Я уже устал повторять!'],Злость,
"['Вас не волнует, что происходит? Вы просто хотите, чтобы я сделал за вас всю работу? Я не могу так! Я не могу творить чудеса! Попробуйте разобраться сами!']",Злость,
"['Не могу поверить, что она выиграла этот приз! Как же ей повезло! Неужели у меня никогда не будет такой удачи?!']",Зависть,
"['Смотри, какая у нее классная машина! Я бы тоже хотел себе такую! Когда же у меня будут такие деньги?']",Зависть,
"['Как же здорово, что они поехали на море! Я бы тоже так хотел! Когда же я смогу себе это позволить?']",Зависть,
['Неужели она купила себе новую квартиру? ! И так быстро! А я все еще живу в съемной!'],Зависть,
['Он получил повышение? ! А я все еще сижу на своей должности! Как же это несправедливо!'],Зависть,
['Как же она отлично выглядит! У нее такая идеальная фигура! Когда же у меня будет такая же?'],Зависть,
['Они купили себе новый дом! И в таком классном месте! А я все еще живу в этой маленькой квартирке!'],Зависть,
['Он получил такую шикарную работу! С такой высокой зарплатой! Когда же у меня будет такая же?'],Зависть,
['Она такая стильная! У нее такой прекрасный вкус! Как же я хочу быть такой же модной!'],Зависть,
['Неужели у нее так много денег? ! Как же я завидую! Когда же у меня будут такие средства?'],Зависть,
"['Как же тебе повезло! Ты всегда получаешь все, что хочешь! Неужели у меня никогда не будет такой удачи?']",Зависть,
['Ты просто невероятно талантлив! Как же легко тебе дается все! У меня никогда не будет такого таланта!'],Зависть,
"['Ты такой уверенный в себе! Ты всегда знаешь, чего хочешь! Я бы хотел быть таким же!']",Зависть,
"['Ты не представляешь, как я завидую! Как же ты здорово выглядишь! Ты просто светишься!']",Зависть,
['Как тебе удалось получить такую скидку? ! У меня такого никогда не бывает! Я всегда переплачиваю!'],Зависть,
['Неужели у тебя уже есть билеты? ! Как же я завидую! Я все еще не могу найти ничего подходящего!'],Зависть,
['Ты уже так далеко продвинулся! Как тебе удается так быстро все осваивать? ! Я все еще на первых шагах!'],Зависть,
"['Как же тебе повезло! Ты всегда получаешь все, что хочешь! Неужели у меня никогда не будет такой удачи?!']",Зависть,
"['Ты такой уверенный в себе! Ты всегда знаешь, чего хочешь! Я бы хотела быть такой же!']",Зависть,
"['Ты так быстро все делаешь. Как тебе удается все успевать? Я просто не знаю, как.']",Зависть,
"['Ты просто не представляешь, как я завидую. Ты всегда выглядишь так хорошо. Как тебе удается?']",Зависть,
