Текст фразы,Эмоция
очень разочаровать это пройти столько усилие всё зря,Злость
почему никто предупредить заранее это просто недопустимо,Злость
постоянный ошибка система раздражать это исправить,Злость
сообщить прийтись переделывать,Злость
каждый один начаться порядок вопрос,Злость
предупреждать похоже просто слышать,Злость
невозможно работать такой условие каждый тот ошибка никакой прогресс,Злость
почему снова возникнуть тот проблема сколько говорить результат,Злость
казаться объяснять один всё возвращаться круг свой,Злость
послушать понимать почему говорить нужно разобраться ситуация хотеть знать почему некорректно вести,Злость
задержка оплата почему мочь сделать всё вовремя это просто выводить,Злость
опоздать доставка заказ хотя обещать привезти ещё утром полдень потерять изз задержка итог просто испортить план,Злость
вчера звонить поддержка сказать проблема решить сегодня снова столкнуться это начинать сильно раздражать,Злость
сколько переносить встреча каждый находить новый причина надоесть терпеть такой отношение,Злость
банк снова наслать запрос хотя приходить трижды похоже просто бардак система это переходить граница,Злость
магазин обещать скидка касса отказаться её учитывать итог прийтись переплатить такой поведение совершенно неприемлемый,Злость
отправить отчёт весь правило начальник сказать переделать уточнить именно,Злость
потерять время очередь узнать документ заполнить заранее никто предупредить бесить такой неорганизованность,Злость
третий повторять один всё равно слышать такой отношение просто выводить следующий быть тратить время,Злость
врач сегодня снова задержаться полчаса хотя прийти вовремя никто извиниться похоже вообще ценить время пациент,Злость
сегодня отправить письмо предложение ответ сей пора сколько ещё ждать такой условие просто невозможно планировать работа,Злость
позвонить банк заявить остаться долг оплатить всё вовремя ошибаться элементарный вещь,Злость
получить исправить отчёт хотя дать проверить снова заставлять переделывать изз мелочь честно говорить это раздражать,Злость
коллега снова последний момент изменить дата встреча вообще безответственно менять план изз прийтись переделывать весь график,Злость
прийти магазин вещь её снова наличие третий приходить обещать это просто пустой трата время,Злость
проект продвигаться слишком медленно всё некоторый момент обсудить заранее почему сразу всё уточнить это тормозить весь процесс,Злость
совещание взять поменять план работа хотя о весь договориться двигаться вперёд каждый менять условие,Злость
сегодня обсуждать новый подход задача оказаться деталь упустить вообще это запустить всё нужно переделывать,Злость
оформить документ выясниться нужный дополнительный правка почему мочь сразу предупредить это просто бесить,Злость
сегодня привезти заказ один вещь оказаться почему сразу укомплектовать весь заказ прийтись разбираться поддержка лишний нерв время,Злость
ерунда сайт работать третий неделя терпение потерять,Злость
час пытаться войти личный кабинет получаться это просто издевательство,Злость
шутить это правда давно ожидать заказ сей пора прийти требовать немедленно разбираться вопрос,Злость
сколько терпеть ошибка приложение столько время потратить заполнить форма оно выдавать ошибка просто безобразие,Злость
это мой проблема система работать плач ваш услуга требовать работать положить,Злость
устать повторять один почему мочь понять проблема вообще слышать говорить,Злость
просто дурак иметь мочь сказать порядок сайт грузиться видеть проблема,Злость
хотеть слышать ваш отговорка устранить ошибка немедленно заставлять ждать,Злость
требовать решение проблема хотеть слышать пустой обещание конкретный действие мочь терпеть ваш некомпетентность,Злость
просто довести столько время тратить решение проблема говорить порядок требовать компенсация потерянный время,Злость
нужно говорить порядок видеть свой глаз сайт работать дурак держать,Злость
бешенство такой безответственный терять время нерв говорить порядок просто мочь поверить,Злость
ваш компания просто доводить знать реагировать ваш некомпетентность,Злость
хотеть говорить руководитель надоесть терять время бесполезный разговор ваш сотрудник,Злость
вообще ктонибыть ответственный столько обращаться техподдержка результат это просто издевательство,Злость
мочь терпеть постоянный сбой ваш услуга отвратительный,Злость
это просто продолжаться столько время тратить решить проблема равно решаться бешенство,Злость
ум сойти,Злость
мочь такой сделать,Злость
просто выбесить это просто невыносимый,Злость
сколько ты повторять сметь я разговаривать,Злость
видеть занятый,Злость
учить уважать другой человек,Злость
понимать вообще это сделать,Злость
сметь оскорблять,Злость
мочь такой безответственный,Злость
мочь поверить забыть наш встреча это второй это нравиться,Злость
почему сказать сразу проблема ненавидеть человек прятать правда,Злость
просто бесить ктоть оставлять свой вещь разбросать весь квартира это делать жизнь невыносимый,Злость
сколько напоминать простой вещь устать постоянно единственный человек который организовать,Злость
это совершенно неуважительно отвечать сообщение приходить спрашивать случиться,Злость
понимать почему мочь хотя сделать чтоть просить это очень раздражать,Злость
каждый пытаться чтоть обсудить просто отмахиваться это серьёзно бесить,Злость
почему слушать говорить чувствовать просто заботиться мой чувство,Злость
надоесть постоянно оправдываться свой действие допускать ошибка хотеть признавать это,Злость
ярость выполнить свой обещание это начинать выходить рамка разумный,Злость
знать объяснить подход работа абсолютно недопустимый надоесть постоянный стресс изз твой ошибка,Злость
неужели сложно просто выполнить свой обязанность устать постоянный напоминание оправдание,Злость
каждый просить помощь просто игнорировать это становиться просто невыносимый,Злость
казаться принимать расчёт мнение команда это очень раздражать надеяться это осознать,Злость
полный недоумение отнестись этот проект халатно подходить дело,Злость
неужели трудно просто выполнить свой обязанность сила терпеть это постоянный безобразие,Злость
мочь поверить снова прийтись переделывать проект ктоть выполнить часть работа,Злость
бесить человек слушать делать посвоему,Злость
достать мочь терпеть несправедливость,Злость
ярость забыть мой просьба,Злость
глупость неужели видеть это неправильно,Злость
мой терпение лопнуть быть мириться это,Злость
просто бешенство твой безответственный поведение,Злость
довести быть терпеть твой выходка,Злость
бесить хаос хотеть разрушить,Злость
хотеть слышать объяснять свой ошибка нужно начинать действовать просто говорить,Злость
почему мочь просто выполнить часть чёткий срок понимать затягивать это продолжиться прийтись серьёзно поговорить,Злость
каждый слышать отговорка начинать бесить никакой результат постоянный обещание,Злость
надоесть время заставлять исправлять ситуация обязать это делать почему никто брать ответственность,Злость
неужели сложно выполнить домашний задание самостоятельно время ждать результат продолжать откладывать последний момент,Злость
понимать вообще поступить программа ты интересно,Злость
вообще слушать объяснять это сделать,Злость
сила спорить ты сделать сказать,Злость
сколько ты сказать нужно сдавать работа вовремя,Злость
обещать перезвонить течение час пройти это время,Злость
третий пытаться снять деньга ваш банкомат снова работать безобразие,Злость
неужели мочь сделать ваш система работать,Злость
почему такой некомпетентный служба поддержка никто помочь,Злость
уверить правильно посчитать процент мой кредит казаться обманывать,Злость
сказать преподаватель делать часть это это просто недопустимо мы нужно решать проблема раздувать,Злость
представлять это бесить должный работать команда изз твой поведение всё идти,Злость
это хамство просто хотеть вернуть браковать товар грубить,Злость
сметь обвинять брать касаться товар,Злость
почему этот вещь стоить дорогой сайт дурить,Злость
испортить настроение просто хотеть купить подарок,Злость
очередь конец зал невозможно нормально купить продукт каждый происходить сколько ждать,Злость
скидка должный действовать конец неделя касса её это неправильно,Злость
привезти товар который обещать сказать сегодня точно,Злость
почему цена товар снова вырасти каждый всё дорогой дорогой,Злость
фрукт свежий третий такой видеть,Злость
сколько терпеть медленный очередь это просто возмутительно,Злость
неправильно пробить цена касса надоесть такой отношение,Злость
почему постоянно нужный продукт вообще следить ассортимент,Злость
сколько повышать цена это граница разумный,Злость
ваш касса работать нормально почему постоянно такой проблема,Злость
всё сделать неправильно сколько повторять один,Злость
безответственно относиться дело это перебор,Злость
почему никто сообщать изменение работать невозможно,Злость
забыть наш договорённость это просто издевательство,Злость
обещать всё сделать вовремя оправдание почему возникать такой проблема это выходить рамка,Злость
мочь поверить чтоть это просто безобразие неужели всё проверить сколько терпеть это отношение,Злость
сколько повторять один это смешно устать объяснять один снова,Злость
мочь поступить это возмутительно всё он просто забыть сколько это терпеть,Злость
работа сделать коекак это просто халатность никто собираться это терпеть,Злость
почему делать всё вовремя мочь это игнорировать беспечность просто выводить это закончиться,Злость
опоздать бесить уважать мой время знать достучаться просто хотеть слышать,Злость
ценить делать меняться зло готовый взорваться,Злость
постоянно врать верить единый слово,Злость
мочь поступить просто шок друг мочь доверять,Злость
неужели понимать делать просто уважать ничей чувство,Злость
быть молчать показать такой бывать,Злость
понимать почему это сложно объяснять ситуация несколько меняться почему требоваться время это,Злость
мочь поверить ваш служба поддержка неэффективный каждый звонить говорить один почему мочь решить вопрос сразу,Злость
потратить час ожидание всё мочь предложить это перезвонить поздний это просто ужасно ожидать гораздо качественный обслуживание,Злость
терять терпение ваш бездействие усугублять ситуация нужно помочь,Злость
второй час пытаться решить проблема предлагать делать просто шок ваш некомпетентность,Злость
это третий звонить каждый говорить один безобразие,Злость
мочь говорить знать это ваш продукт,Злость
совершенно волновать происходить это просто безобразие,Злость
быть тратить время ваш пустой обещание требовать немедленный действие иначе быть вынудить обратиться другой компания,Злость
объяснить видимо слушать нужно понять нужный схема нарисовать сказать,Злость
мочь просто бросать трубка проблема начинать истерить понимать хотеть пытаться помочь,Злость
мочь помочь волшебник мочь просто сделать хотеть попробовать разобраться сам сказать,Злость
слушать повторять который нужно сделать следующий устать повторять,Злость
волновать происходить просто хотеть сделать работа мочь мочь творить чудо попробовать разобраться сам,Злость
мочь поверить выиграть приз повезти неужели удача,Зависть
смотреть классный машина хотеть такой быть такой деньга,Зависть
здорово поехать море хотеть смочь это позволить,Зависть
неужели купить новый квартира быстро жить съёмный,Зависть
получить повышение сидеть свой должность это несправедливый,Зависть
отлично выглядеть такой идеальный фигура такой,Зависть
купить новый дом такой классный место жить маленький квартирка,Зависть
получить такой шикарный работа высокий зарплата такой,Зависть
такой стильный прекрасный вкус хотеть модный,Зависть
неужели деньга завидовать быть такой средство,Зависть
ты повезти получать хотеть неужели удача,Зависть
просто невероятно талантливый легко ты даваться такой талант,Зависть
уверенный знать хотеть хотеть такой,Зависть
представлять завидовать здорово выглядеть просто светиться,Зависть
ты удаться получить такой скидка такой бывать переплачивать,Зависть
неужели билет завидовать мочь найти подходящий,Зависть
далеко продвинуться ты удаваться быстро осваивать первый шаг,Зависть
ты повезти получать хотеть неужели удача,Зависть
уверенный знать хотеть хотеть,Зависть
быстро делать ты удаваться успевать просто знать,Зависть
просто представлять завидовать выглядеть ты удаваться,Зависть
повезти легко получать хотеть приходиться бороться каждый шаг,Зависть
просто сиять такой красивый кожа волос хотеть выглядеть,Зависть
неужели купить новый машина быстро ездить свой старенький авто,Зависть
неужели машина,Зависть
выглядеть стильно хотеть,Зависть
быстро продвинуться карьерный лестница,Зависть
неужели быстро сбросить вес завидовать,Зависть
повезти легко получать хотеть,Зависть
неужели получить повышение,Зависть
быстро освоить новый язык полгода учиться получаться поделиться секрет быстро осваивать,Зависть
здорово успеть купить новый машина старый хлам казаться новый работа найти ты это удаваться,Зависть
такой потрясать фигура быстро похуделый пытаться несколько месяц получаться,Зависть
ты повезти такой красивый квартира мечтать такой жильё казаться такой интересный работа очень хотеть работать сфера,Зависть
повезти работа всё складываться польза почему получаться,Зависть
снова поехать отдыхать граница удаваться столько путешествовать просто везти каждый шаг,Зависть
смотреть купить новый машина почему всё ещё старый легко доставаться всё самый хороший,Зависть
успеть получить повышение это возможно такой короткий время почему получаться,Зависть
снова премия легко получать награда представить такой мочь,Зависть
переехать новый дом быстро решиться это сей пора копить ремонт,Зависть
видеть купить очередной дорогой платье удаваться столько зарабатывать далеко,Зависть
её пригласить очередной крутой проект почему выпадать удача просто невероятно везучий,Зависть
смотреть третий отпуск год успевать часто отдыхать повезти,Зависть
заметить получить новый гаджет постоянно везти такой вещь смочь позволить такой,Зависть
купить чтоть новый такой классный вещь почему везти,Зависть
ты удаваться столько путешествовать вернуться планировать новый отпуск почему удаваться часто выбираться,Зависть
снова получить повышение просто золотой работа повезти,Зависть
снова модный одежда это деньга мечтать мочь,Зависть
ездить красивый машина ты удаваться позволить всё это повезти,Зависть
ты удаться купить новый телефон всё время брать хороший модель почему приходиться экономить,Зависть
снова дорогой ресторан выходной праздник побаловать,Зависть
приобрести чтоть дом стильный интерьер смотреть мечтать,Зависть
ты удаться попасть крутой концерт такой интересный мероприятие билет доставаться,Зависть
снова съездить граница жизнь один радость повезти,Зависть
купить чтоть новый получаться повезти хотя,Зависть
снова отпуск собраться ты удаваться часто отдыхать мысль,Зависть
везде успевать поучаствовать правда работа отдых такой интересный немного твой удача,Зависть
найти время спорт ты это удаваться такой график постоянно откладывать успевать,Зависть
отпуск впереди выбирать интересный направление спланировать,Зависть
всё выходить идеально везучий,Зависть
премия дать отпуск сразу,Зависть
подарить новый телефон повезти,Зависть
отпуск дважды год неслыханный роскошь,Зависть
отпуск уехать роскошный отель,Зависть
такой стильный вещь везти,Зависть
получать всё самый хороший почему ты везти,Зависть
работа найти отличный зарплата везучий человек,Зависть
слушать везучий отдыхать мечтать поехать,Зависть
получаться постоянно всё складываться идеально,Зависть
ты легко дать кредит такой машина повезти,Зависть
снова выиграть конкурс,Зависть
выходить хороший фотография близко выходить,Зависть
новый техника купить быстро просто завидовать,Зависть
находить время поездка граница ты удаваться путешествовать всё никак собраться столько дело повезти,Зависть
казаться вечно всё идти план почему всё выходить лёгкость успевать всё сделать вовремя уметь,Зависть
получиться идеально приготовить торт сколько пытаться всё почему выходить вкусно очень завидовать твой кулинарный способность,Зависть
ты легко удаваться добиваться результат находить всё время сила мечтать такой немного завидовать ты,Зависть
вообще находить такой выгодный предложение хотеться такой находка сделать настоящий профессионал дело,Зависть
умудряться ездить такой красивый место мечтать хотя пара день выбраться легко это выходить повезти,Зависть
ты удаваться короткий срок достигнуть цель это уходить вечность просто находить выход любой ситуация жаль такой сила,Зависть
везде успевать ты удаваться планировать день всё,Зависть
каждый отпуск проводить граница это здорово мечтать мочь,Зависть
сдать проект первый ты удаваться быстро работать успевать сколько стараться,Зависть
хороший оборудование хотеть ноутбук пока мочь позволить,Зависть
уметь находить интересный книга постоянно читать один твой находка это чтоть научиться,Зависть
снова купить новый машина сразу видно удача твой сторона мечтать,Зависть
постоянно ездить отдых везти,Зависть
достаться хороший проект работа,Зависть
снова повысить зарплата везти,Зависть
сколько получаться невероятно,Зависть
постоянно делать идеальный презентация это возможно,Зависть
всё это просто невероятно находить нужный связь удаваться,Зависть
везти начинание честной слово сложный задача решать это мелочь снова повысить стараться,Зависть
она всё легко получаться повезти отпуск хороший день любой проблема она пустяк ещё она восхищённо смотреть,Зависть
знать правильно поступить удивительно трудный момент сомневаться снова получать хороший задание,Зависть
находить способ получить самый выгодный предложение хотя вроде смотреть один тот вариант выходить найти чтоть,Зависть
работа всё складываться идеально получать хороший задача ты прислушиваться повышение гора,Зависть
снова найти время отдых учёба встреча друг всё идеально успеть это делать,Зависть
всё время находить самый классный скидка акция вечно плач полный стоимость знать брать,Зависть
ты повезти отпуск поехать хороший курорт ещё попасть самый удобный рейс время мочь выбраться,Зависть
находить такой надёжный человек работа сколько пробовать всё никак попасть коготь подходить,Зависть
получиться столько сделать короткий срок свой дело успевать начать половина,Зависть
снова получать хороший проект сидеть дело труд находить взять работа вечно подходить,Зависть
ты удаться обновить квартира ещё сильно потратиться всё затратный выходить сдвигаться место,Зависть
постоянно везти такой мероприятие концерт сидеть дом просто глядеть твой фотография мочь поверить твой везение,Зависть
снова умудриться получить повышение работа вокруг говорить повезти,Зависть
купить новый машина восхищаться её выбор мечтать,Зависть
постоянно путешествовать мир самый хороший фотография который зависть смотреть,Зависть
легко находить интересный хобби увлечение всё время теряться свой задумка мочь выбрать,Зависть
находить время тренировка отличный форма всё время откладывать занятие спорт,Зависть
выглядеть безупречно получать комплимент время елееле собирать свой вещь,Зависть
легко находить новый друг поддерживать отношение мочь организовать встреча давний знакомый,Зависть
умело справляться домашний дело успевать готовить семья мечтать порядок свой дом,Зависть
уверенно говорить публика бояться открывать рот,Зависть
делать такой классный фотосессия знать начать,Зависть
повезти шикарный дом,Зависть
слышать купить новый автомобиль выглядеть потрясающе,Зависть
снова уехать отпуск завидный время,Зависть
находить самый выгодный сделка просто везти,Зависть
казаться шикарный отпуск работа забота,Зависть
мочь поверить купить новый автомобиль просто невероятный,Зависть
легко находить новый друг искать общий язык человек,Зависть
знать секрет удача хотеть научиться этот,Зависть
сколько граница завидный успеть увидеть,Зависть
прекрасно справляться весь казаться такой успех,Зависть
извинить выйти понимать ты непросто постараться расстраиваться образоваться главное сдаваться,Сочувствие
очень сочувствовать ты знать сложно потерять близкий человек особенно внезапно нужный помощь рядом,Сочувствие
слово очень сочувствовать ты это действительно ужасный ситуация надеяться смочь справиться это,Сочувствие
понимать насколько расстроить понимать ты очень трудно знать готовый поддержать,Сочувствие
очень переживать знать сложный положение верить справиться,Сочувствие
это действительно очень грустно знать сильно любить собака очень сочувствовать твой утрата,Сочувствие
понимать отчаяние это действительно сложный ситуация терять надежда всё наладиться,Сочувствие
очень печально ты прийтись пройти это рада мочь положиться готовый помочь,Сочувствие
знать ты очень тяжело сдаваться очень сильный человек справиться весь,Сочувствие
ты вместе преодолеть трудность готовый выслушать поддержать,Сочувствие
ох бедняжка ты плохо,Сочувствие
ужасно случиться попытаться ты помочь,Сочувствие
рада смочь это справиться,Сочувствие
это ужасно держаться пожалуйста,Сочувствие
рада порядок,Сочувствие
ох жаль произойти,Сочувствие
рада ты стать,Сочувствие
ужасно ты приходиться это пройти,Сочувствие
ох бедняга устать давать помочь ты конспект,Сочувствие
ужасно заболеть надеяться быстро поправиться,Сочувствие
сочувствовать успевать экзамен смочь ты помочь,Сочувствие
жаль пройти тест расстраиваться получиться следующий,Сочувствие
это ужасно надеяться сдача проект,Сочувствие
жаль смочь поехать конференция надеяться смочь поехать следующий,Сочувствие
ужасно пропустить лекция мочь скинуть ты конспект,Сочувствие
жаль пропустить вечеринка сходить куданибудь,Сочувствие
ох бедняга ты тяжело волноваться поддержать,Сочувствие
сочувствовать мочь сдать работа вовремя надеяться преподаватель понять,Сочувствие
очень рада наслать сила обратиться к,Сочувствие
понимать это очень неприятно должный очень расстроить сделать мой сила облегчить ваш состояние стесняться задавать вопрос,Сочувствие
наверное очень переживать понимать трудно постараться сделать стать пожалуйста рассказать беспокоить,Сочувствие
это очень неприятный диагноз понимать наверное испытывать страх беспокойство поддержать объяснить интересовать вместе справиться ситуация,Сочувствие
представлять сложно наверное испытывать разный эмоция позволить помочь разобраться ваш состояние подобрать хороший курс лечение,Сочувствие
понимать тяжело наверное очень устать сделать помочь поправиться стесняться обратиться к чтоть беспокоить,Сочувствие
наверное очень устать этот исследование анализ сделать возможный помочь,Сочувствие
понимать очень тревожный наверное бояться неизвестность поддержать,Сочувствие
жаль приходиться проходить это держаться,Сочувствие
понимать сложно волноваться найти решение,Сочувствие
очень рада чувствовать это замечательный,Сочувствие
сочувствовать это действительно неприятно образоваться,Сочувствие
это досадный сочувствовать помочь,Сочувствие
ужасно переживать это верить справиться,Сочувствие
очень рада наслать сила обратиться к,Сочувствие
жаль смочь пойти день рождение друг,Сочувствие
ужасно уронить телефон расстраиваться,Сочувствие
понимать расстроить выиграть конкурс отчаиваться следующий повезти,Сочувствие
ох обидно получить плохой оценка контрольный,Сочувствие
жаль пропустить тренировка выздоравливать скорее,Сочувствие
очень рада чувствовать сильный,Сочувствие
понимать расстроить ты обязательно сходить кино,Сочувствие
очень обидно выиграть конкурс расстраиваться очень талантливый получиться,Сочувствие
знать хотеть поиграть футбол друг заболеть скоро поправиться ты обязательно поиграть футбол,Сочувствие
это очень неприятно мочь поехать море класс ты придумать чтонибыть интересный сделать дом,Сочувствие
жаль смочь поиграть друг сегодня знать хотеть бывать такой надеяться скоро смочь поиграть они снова,Сочувствие
ужасно пропустить корпоративный ужин волноваться ты рассказать,Сочувствие
сочувствовать смочь получить повышение уверить смочь достигнуть свой цель,Сочувствие
понимать расстроить пропустить корпоратив надеяться скоро поправиться,Сочувствие
очень жаль возникнуть такой сложность проект давать подумать помочь быстрый выйти ситуация обязательно подключить нужный специалист,Сочувствие
неприятно слышать задача затянуться изз такой обстоятельство возможно стоить обсудить возможный корректировка срок постараться свой сторона ускорить процесс,Сочувствие
понимать изз дополнительный задача понадобиться помощь отчёт сказать подключиться хотеться это негативно отразиться ваш графика,Сочувствие
cейчас такой высокий нагрузка это непросто надеяться близкий время всё нормализоваться свой сторона готовый помочь смочь,Сочувствие
понимать это действительно неприятный ситуация особенно такой сжатый срок давать обсудить мочь помочь чтоть срочный,Сочувствие
очень жаль такой накладка подрядчик пожалуйста сообщить нужный поддержка документация,Сочувствие
непросто работать условие возникать такой проблема оборудование нужный дополнительный помощь просто сказать,Сочувствие
сожалеть пойти планироваться постараться организовать необходимый помощь минимизация потеря давать обсудить действовать далёкий,Сочувствие
ох это досадный понимать это сложно давать пошаговый проверить настройка найти решение,Сочувствие
извинить возникнуть такой трудность понимать насколько это неприятно сделать помочь решить проблема скорее,Сочувствие
понимать насколько важно решить проблема это действительно неприятно сталкиваться такой трудность сделать возможный помочь,Сочувствие
сочувствовать потратить время решение проблема понимать насколько это утомительно давать вместе попробовать найти решение,Сочувствие
непростой ситуация понимать это добавлять стресс обсудить облегчить нагрузка готовый подстраховать часть задача,Сочувствие
очень обидно проект застопориться изз этот технический проблема постараться подключить тот помочь устранение сообщить нужный срочный поддержка,Сочувствие
жаль произойти держаться,Сочувствие
знать это тяжело,Сочувствие
надеяться ты удаться справиться это испытание,Сочувствие
заслуживать гораздо хороший больно,Сочувствие
тяжело слышать такой трудность правда сочувствовать,Сочувствие
понимать нелегко ты это ужасно несправедливый,Сочувствие
это правда горько рядом,Сочувствие
мочь поверить ты поступить столько сила вложить это несправедливый,Сочувствие
вообще выдержать всё это столько переживание момент справиться,Сочувствие
всё это один тащить вообще такой возможно это просто безумие,Сочувствие
жаль это случиться именно ты сколько терпеть это ужасно тяжело,Сочувствие
ты такой трудность стараться всё зря разочароваться,Сочувствие
это действительно подло сторона плохой делать мочь,Сочувствие
