Текст фразы,Эмоция,Augmented
очень разочаровать это пройти столько усилие всё зря,Злость,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
почему никто предупредить заранее это просто недопустимо,Злость,"[""I don't know what to do.""]"
постоянный ошибка система раздражать это исправить,Злость,['opoctobynonigh opzybika cycbérta unahndrmautta utbo ycpáubtg']
сообщить прийтись переделывать,Злость,['coub.htmTga préliutbutag']
каждый один начаться порядок вопрос,Злость,"[""She's the one she's the one she's the one she's the man.""]"
предупреждать похоже просто слышать,Злость,['prékprempreümpätg opopohogie projecto conclopautg']
невозможно работать такой условие каждый тот ошибка никакой прогресс,Злость,['ENEOKHTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTO']
почему снова возникнуть тот проблема сколько говорить результат,Злость,"[""I don't know what to do.""]"
казаться объяснять один всё возвращаться круг свой,Злость,['Claudio Junior hockey.']
послушать понимать почему говорить нужно разобраться ситуация хотеть знать почему некорректно вести,Злость,"[""I don't know what to do.""]"
задержка оплата почему мочь сделать всё вовремя это просто выводить,Злость,"[""I don't know what to do with you, but I don't know what to do.""]"
опоздать доставка заказ хотя обещать привезти ещё утром полдень потерять изз задержка итог просто испортить план,Злость,"[""I don't know what to do.""]"
вчера звонить поддержка сказать проблема решить сегодня снова столкнуться это начинать сильно раздражать,Злость,"[""It's okay.""]"
сколько переносить встреча каждый находить новый причина надоесть терпеть такой отношение,Злость,"['CSU slams, slaps, eats, eats, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks, drinks.']"
банк снова наслать запрос хотя приходить трижды похоже просто бардак система это переходить граница,Злость,"[""It's okay.""]"
магазин обещать скидка касса отказаться её учитывать итог прийтись переплатить такой поведение совершенно неприемлемый,Злость,"[""I don't know what to do.""]"
отправить отчёт весь правило начальник сказать переделать уточнить именно,Злость,"[""It's okay.""]"
потерять время очередь узнать документ заполнить заранее никто предупредить бесить такой неорганизованность,Злость,"[""It's okay, it's okay.""]"
третий повторять один всё равно слышать такой отношение просто выводить следующий быть тратить время,Злость,"[""It's okay.""]"
врач сегодня снова задержаться полчаса хотя прийти вовремя никто извиниться похоже вообще ценить время пациент,Злость,"[""I don't know what to do.""]"
сегодня отправить письмо предложение ответ сей пора сколько ещё ждать такой условие просто невозможно планировать работа,Злость,"[""I don't know what to do.""]"
позвонить банк заявить остаться долг оплатить всё вовремя ошибаться элементарный вещь,Злость,"[""I don't know what to do.""]"
получить исправить отчёт хотя дать проверить снова заставлять переделывать изз мелочь честно говорить это раздражать,Злость,"[""I don't know what to do.""]"
коллега снова последний момент изменить дата встреча вообще безответственно менять план изз прийтись переделывать весь график,Злость,"[""I don't know what to do.""]"
прийти магазин вещь её снова наличие третий приходить обещать это просто пустой трата время,Злость,"[""I don't know what to do.""]"
проект продвигаться слишком медленно всё некоторый момент обсудить заранее почему сразу всё уточнить это тормозить весь процесс,Злость,"[""I don't know what to do.""]"
совещание взять поменять план работа хотя о весь договориться двигаться вперёд каждый менять условие,Злость,"[""I don't know what to do.""]"
сегодня обсуждать новый подход задача оказаться деталь упустить вообще это запустить всё нужно переделывать,Злость,"[""I don't know what to do.""]"
оформить документ выясниться нужный дополнительный правка почему мочь сразу предупредить это просто бесить,Злость,"[""I don't know what to do.""]"
сегодня привезти заказ один вещь оказаться почему сразу укомплектовать весь заказ прийтись разбираться поддержка лишний нерв время,Злость,"[""I don't know what to do, but I don't want you to do it.""]"
ерунда сайт работать третий неделя терпение потерять,Злость,"[""It's okay.""]"
час пытаться войти личный кабинет получаться это просто издевательство,Злость,"[""I don't know what to do.""]"
